,time,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
0,1.6705039334930376e+18,0.43540775775909424,0.03,0.03,0.1760094165802002,0.3929065465927124,0.03
1,1.6705039335016397e+18,0.3564671576023102,0.03,0.03,0.1579561084508896,0.3324944078922272,0.03
2,1.6705039335118323e+18,0.3038967251777649,0.03,0.03,0.14444993436336517,0.2925218343734741,0.03
3,1.6705039335216392e+18,0.2692062258720398,0.03,0.03,0.13467055559158325,0.2627330720424652,0.03
4,1.6705039335318804e+18,0.2456485480070114,0.03,0.03,0.12967024743556976,0.24222765862941742,0.03
5,1.67050393354176e+18,0.22659754753112793,0.03,0.03,0.12442772835493088,0.2244272381067276,0.03
6,1.6705039335515768e+18,0.21240006387233734,0.03,0.03,0.12124192714691162,0.21134039759635925,0.03
7,1.6705039335615954e+18,0.20105624198913574,0.03,0.03,0.11734557151794434,0.2030981481075287,0.03
8,1.6705039335719227e+18,0.19161975383758545,0.03,0.03,0.11694373190402985,0.19406189024448395,0.03
9,1.6705039335817132e+18,0.1843038946390152,0.03,0.03,0.11806914955377579,0.18710288405418396,0.03
10,1.6705039335916178e+18,0.17795930802822113,0.03,0.03,0.11570895463228226,0.1809227019548416,0.03
11,1.6705039336017334e+18,0.12224847078323364,0.03,0.506905734539032,0.03,0.03,0.5266731977462769
12,1.670503933611645e+18,0.12155337631702423,0.03,0.40818139910697937,0.03,0.03,0.42127150297164917
13,1.6705039336215598e+18,0.12199190258979797,0.03,0.3437039852142334,0.03,0.03,0.34157493710517883
14,1.6705039336316398e+18,0.12209223210811615,0.03,0.2984761595726013,0.03,0.03,0.28356561064720154
15,1.6705039336419523e+18,0.12222486734390259,0.03,0.2668152153491974,0.03,0.03,0.24474775791168213
16,1.6705039336517281e+18,0.12312719225883484,0.03,0.24227768182754517,0.03,0.03,0.21652500331401825
17,1.6705039336624161e+18,0.12334488332271576,0.03,0.22453317046165466,0.03,0.03,0.19625329971313477
18,1.6705039336738122e+18,0.12210969626903534,0.03,0.20955944061279297,0.03,0.03,0.17970752716064453
19,1.6705039336854351e+18,0.12914656102657318,0.03,0.2109489142894745,0.03,0.03,0.16936516761779785
20,1.6705039336952689e+18,0.12446294724941254,0.03,0.20098954439163208,0.03,0.03,0.15526697039604187
21,1.670503933705327e+18,0.03,0.4332280158996582,0.03,0.03,0.03,0.05124446749687195
22,1.6705039337150886e+18,0.03,0.40733984112739563,0.03,0.03,0.03,0.04566921293735504
23,1.6705039337243702e+18,0.03,0.345492959022522,0.03,0.03,0.03,0.04686306416988373
24,1.670503933734268e+18,0.03,0.29162508249282837,0.03,0.03,0.03,0.048577338457107544
25,1.6705039337442778e+18,0.03,0.2517697513103485,0.03,0.03,0.03,0.04673363268375397
26,1.670503933754328e+18,0.03,0.2235955148935318,0.03,0.03,0.03,0.04483373463153839
27,1.6705039337644526e+18,0.03,0.20826835930347443,0.03,0.03,0.03,0.04315899312496185
28,1.6705039337760586e+18,0.03,0.1950027048587799,0.0312860906124115,0.03,0.03,0.040950074791908264
29,1.6705039337860803e+18,0.03,0.18443487584590912,0.03216075897216797,0.03,0.03,0.03629089891910553
30,1.6705039337984527e+18,0.03,0.17679885029792786,0.030673980712890625,0.03,0.03,0.03112982213497162
31,1.6705039338077402e+18,0.09444883465766907,0.03,0.03,0.3182275593280792,0.3939615786075592,0.03
32,1.670503933817398e+18,0.09213430434465408,0.03,0.03,0.30500754714012146,0.3744885325431824,0.03
33,1.6705039338254339e+18,0.08361946046352386,0.03,0.03,0.2750890552997589,0.3291957378387451,0.03
34,1.6705039338336727e+18,0.0727495551109314,0.03,0.03,0.2456241399049759,0.28905582427978516,0.03
35,1.6705039338439805e+18,0.06684444099664688,0.03,0.03,0.22116759419441223,0.25791463255882263,0.03
36,1.6705039338537905e+18,0.060982391238212585,0.03,0.03,0.2018895000219345,0.23448266088962555,0.03
37,1.6705039338639058e+18,0.05840911343693733,0.03,0.03,0.18556025624275208,0.21526318788528442,0.03
38,1.6705039338745185e+18,0.0538322776556015,0.03,0.03,0.1745753139257431,0.20390096306800842,0.03
39,1.6705039338847606e+18,0.051416486501693726,0.03,0.03,0.1660783439874649,0.1969715654850006,0.03
40,1.6705039338957768e+18,0.05155598744750023,0.03,0.03,0.1569918543100357,0.18761411309242249,0.03
41,1.6705039339043405e+18,0.05374940484762192,0.03,0.03,0.14528797566890717,0.17811433970928192,0.03
42,1.6705039339158715e+18,0.03,0.17642898857593536,0.03,0.09561486542224884,0.5614970326423645,0.03
43,1.6705039339221568e+18,0.03,0.17051933705806732,0.03,0.09316607564687729,0.5053917765617371,0.03
44,1.6705039339321183e+18,0.03,0.156187042593956,0.03,0.09071028977632523,0.4216423034667969,0.03
45,1.6705039339431718e+18,0.03,0.1448170244693756,0.03,0.08836133778095245,0.36767125129699707,0.03
46,1.6705039339529585e+18,0.03,0.13579526543617249,0.03,0.08509166538715363,0.32768070697784424,0.03
47,1.6705039339630042e+18,0.03,0.13077479600906372,0.03,0.08380567282438278,0.30101585388183594,0.03
48,1.6705039339730445e+18,0.03,0.1240985244512558,0.03,0.0807754248380661,0.27524784207344055,0.03
49,1.6705039339834166e+18,0.03,0.12164594233036041,0.03,0.07937504351139069,0.2568581700325012,0.03
50,1.6705039339930954e+18,0.03,0.11662117391824722,0.03,0.07712378352880478,0.23654764890670776,0.03
51,1.6705039340029798e+18,0.03,0.11360279470682144,0.03,0.07677199691534042,0.22123226523399353,0.03
52,1.670503934016549e+18,0.549413800239563,0.03,0.07157332450151443,0.03,0.03,0.05795338749885559
53,1.6705039340231183e+18,0.489821195602417,0.03,0.0661773607134819,0.03,0.03,0.08481544256210327
54,1.6705039340329797e+18,0.3911188840866089,0.03,0.06224549561738968,0.03,0.03,0.08348646759986877
55,1.6705039340431583e+18,0.3292423486709595,0.03,0.055176205933094025,0.03,0.03,0.0877520740032196
56,1.6705039340540012e+18,0.28910523653030396,0.03,0.05345265567302704,0.03,0.03,0.09297257661819458
57,1.6705039340627305e+18,0.25305286049842834,0.03,0.05085434019565582,0.03,0.03,0.10363265872001648
58,1.6705039340740068e+18,0.23176801204681396,0.03,0.046523138880729675,0.03,0.03,0.10849207639694214
59,1.6705039340831542e+18,0.215498149394989,0.03,0.0431772917509079,0.03,0.03,0.11574128270149231
60,1.6705039340931471e+18,0.20228883624076843,0.03,0.038175731897354126,0.03,0.03,0.1255430281162262
61,1.6705039341032758e+18,0.1905606985092163,0.03,0.03393915295600891,0.03,0.03,0.1272302269935608
62,1.6705039341130222e+18,0.180667906999588,0.03,0.03,0.03,0.03,0.13625285029411316
63,1.6705039341230676e+18,0.03,0.757217288017273,0.03,0.03,0.03,0.9832556247711182
64,1.670503934133562e+18,0.03,0.6024378538131714,0.03,0.03,0.03,0.8028343915939331
65,1.6705039341429972e+18,0.03,0.457356333732605,0.03,0.03,0.03,0.6156181693077087
66,1.6705039341552038e+18,0.03,0.3849053680896759,0.03,0.03,0.03,0.5000725388526917
67,1.670503934165146e+18,0.03,0.33456769585609436,0.03,0.03334274888038635,0.03,0.4188479781150818
68,1.6705039341752783e+18,0.03,0.305236279964447,0.03,0.03423281013965607,0.03,0.3657611012458801
69,1.6705039341851958e+18,0.03,0.28738659620285034,0.03,0.036262497305870056,0.03,0.33208954334259033
70,1.670503934196581e+18,0.03,0.2810131311416626,0.03,0.03804264962673187,0.03,0.3142584264278412
71,1.6705039342049677e+18,0.03,0.26879119873046875,0.03,0.04125615954399109,0.03,0.2921431064605713
72,1.670503934214622e+18,0.03,0.2658357322216034,0.03,0.04499314725399017,0.03,0.27901363372802734
73,1.6705039342236997e+18,0.03,0.12946633994579315,0.03,0.6125872135162354,0.6830235123634338,0.03
74,1.670503934232228e+18,0.03,0.1257767677307129,0.03,0.5606870651245117,0.62911057472229,0.03
75,1.6705039342422956e+18,0.03,0.1263955980539322,0.03,0.4545365273952484,0.49633538722991943,0.03
76,1.6705039342528868e+18,0.03,0.12653401494026184,0.03,0.3768402934074402,0.3931829035282135,0.03
77,1.6705039342630577e+18,0.03,0.12226501107215881,0.03,0.322942316532135,0.322150856256485,0.03
