,time,x,y,theta
0,1.6698261450063242e+18,-0.05226312205195427,-0.030307921580970287,-0.4819307416688905
1,1.6698261450103004e+18,-0.052044788375496864,-0.030005945824086666,-0.508525023360016
2,1.6698261450143176e+18,-0.05172381550073624,-0.029948710463941097,-0.5304170367277821
3,1.6698261450189606e+18,-0.051356034353375435,-0.02993698325008154,-0.5519119947513786
4,1.669826145022706e+18,-0.051045939326286316,-0.02976533304899931,-0.5750717700446499
5,1.6698261450267896e+18,-0.05071369558572769,-0.029589216224849224,-0.5995048430898655
6,1.669826145030441e+18,-0.05026096850633621,-0.029644026421010494,-0.6210677161582538
7,1.6698261450346793e+18,-0.04984421469271183,-0.02968182321637869,-0.6397198478992755
8,1.6698261450390735e+18,-0.04943809658288956,-0.029604374431073666,-0.6584078873738186
9,1.669826145043085e+18,-0.04888770170509815,-0.029419398866593838,-0.6745389369338629
10,1.669826145048407e+18,-0.048266153782606125,-0.029501612298190594,-0.6894131786332419
11,1.6698261450517348e+18,-0.047656409442424774,-0.02958169486373663,-0.7022816249964292
12,1.6698261450562634e+18,-0.047175083309412,-0.02974758204072714,-0.7157312049575472
13,1.6698261450598372e+18,-0.04643751494586468,-0.029940924607217312,-0.7270629759772727
14,1.6698261450637053e+18,-0.04583321698009968,-0.030064581893384457,-0.7349542179315606
15,1.6698261450680786e+18,-0.04532141610980034,-0.030008709989488125,-0.7453507665180764
16,1.6698261450724462e+18,-0.04450015164911747,-0.030270780436694622,-0.7543358164217333
17,1.6698261450763133e+18,-0.04404126852750778,-0.0303173391148448,-0.7679884410159195
18,1.6698261450813225e+18,-0.043309954926371574,-0.030175759457051754,-0.7787509262309544
19,1.669826145085087e+18,-0.04246547445654869,-0.030288363806903362,-0.788235390640971
20,1.6698261450895839e+18,-0.04165671020746231,-0.03049739357084036,-0.7950170627634872
21,1.6698261450929505e+18,-0.040905388072133064,-0.030562530271708965,-0.8043749505935959
22,1.6698261450972452e+18,-0.04010223597288132,-0.03077855985611677,-0.815505460465646
23,1.6698261451013955e+18,-0.039389023557305336,-0.03078481461852789,-0.8188618966283794
24,1.6698261451054815e+18,-0.03865811042487621,-0.030854898504912853,-0.8214952836629602
25,1.6698261451147932e+18,-0.037814222276210785,-0.0307654133066535,-0.8362884236454898
26,1.6698261451149645e+18,-0.03721815347671509,-0.030817977152764797,-0.8395012091603564
27,1.6698261451186388e+18,-0.03652374818921089,-0.030967420898377895,-0.847366251172598
28,1.6698261451224128e+18,-0.035691965371370316,-0.0309397978708148,-0.8566754898627297
29,1.6698261451265846e+18,-0.03508530184626579,-0.0307833394035697,-0.862092194604361
30,1.6698261451304993e+18,-0.034566666930913925,-0.0307617811486125,-0.8673007455306437
31,1.6698261451346132e+18,-0.03379920497536659,-0.030689909122884274,-0.8776972322609544
32,1.6698261451394038e+18,-0.03295225277543068,-0.030606619082391262,-0.8845552443240159
33,1.6698261451434038e+18,-0.03240786865353584,-0.03069391008466482,-0.8941695400604917
34,1.6698261451475494e+18,-0.03180161491036415,-0.030889484100043774,-0.905894261591875
35,1.6698261451515814e+18,-0.03109798952937126,-0.03072861861437559,-0.9103702339815527
36,1.669826145155524e+18,-0.030415616929531097,-0.03060766588896513,-0.9168564004657639
37,1.66982614515957e+18,-0.029611483216285706,-0.030684120021760464,-0.9251741486592907
38,1.6698261451636552e+18,-0.028900697827339172,-0.03054336365312338,-0.9331006126067755
39,1.669826145167913e+18,-0.028320346027612686,-0.030574548058211803,-0.9391200535813369
40,1.6698261451727053e+18,-0.027754615992307663,-0.030617467127740383,-0.947838106480103
41,1.6698261451766193e+18,-0.027157746255397797,-0.030609472654759884,-0.9615226489748756
42,1.6698261451809103e+18,-0.026380538940429688,-0.03047609981149435,-0.9690117548519871
43,1.6698261451847014e+18,-0.025779902935028076,-0.030478297732770443,-0.9734787295436863
44,1.6698261451886822e+18,-0.025213345885276794,-0.030573043040931225,-0.9782168664929207
45,1.669826145192923e+18,-0.024547770619392395,-0.03049300517886877,-0.9866887972808471
46,1.6698261451971948e+18,-0.02386746183037758,-0.030635586939752102,-0.9940009547924429
47,1.6698261452025385e+18,-0.023092512041330338,-0.030792891047894955,-1.0004081567115528
48,1.669826145205868e+18,-0.022438742220401764,-0.03089181985706091,-1.0045684939849062
49,1.6698261452100037e+18,-0.02162599191069603,-0.031002349220216274,-1.0063805552406992
50,1.6698261452139292e+18,-0.021133050322532654,-0.031018386594951153,-1.010414616516278
51,1.6698261452180242e+18,-0.020525123924016953,-0.031121707521378994,-1.0139384727983007
52,1.669826145222243e+18,-0.01949804648756981,-0.031327406875789165,-1.0123641962418815
53,1.6698261452263562e+18,-0.018888890743255615,-0.03135608043521643,-1.0119242526598349
54,1.6698261452304504e+18,-0.018365614116191864,-0.03150280471891165,-1.0104303273996915
55,1.6698261452351905e+18,-0.017692849040031433,-0.03166742529720068,-1.007956533532492
56,1.669826145239158e+18,-0.016769446432590485,-0.031842040829360485,-1.0050770051547886
57,1.669826145243252e+18,-0.016159340739250183,-0.03174791391938925,-1.0039438519660635
58,1.6698261452472108e+18,-0.015449024736881256,-0.032161529175937176,-1.0020725743077041
59,1.6698261452514724e+18,-0.014770228415727615,-0.0324334679171443,-0.9954469147047853
60,1.6698261452551864e+18,-0.014020677655935287,-0.03276497032493353,-0.9907633826889903
61,1.6698261452594655e+18,-0.013476397842168808,-0.032991248182952404,-0.9837199630769238
62,1.6698261452646879e+18,-0.012663409113883972,-0.03322610538452864,-0.9793039100418235
63,1.669826145268303e+18,-0.011956363916397095,-0.03380438219755888,-0.9746519658365335
64,1.6698261452724959e+18,-0.011368107050657272,-0.034069973044097424,-0.9677044508363442
65,1.669826145276317e+18,-0.010705705732107162,-0.03459602128714323,-0.9612247213104518
66,1.669826145280497e+18,-0.010141327977180481,-0.0352284936234355,-0.9561309528295288
67,1.6698261452845706e+18,-0.009487837553024292,-0.03560009505599737,-0.9468724276410199
68,1.6698261452887667e+18,-0.008855152875185013,-0.03625433053821325,-0.9328069798317415
69,1.669826145293543e+18,-0.008137635886669159,-0.03650956507772207,-0.9322588026195255
70,1.669826145297572e+18,-0.0077430009841918945,-0.037042646668851376,-0.9212919143497333
71,1.6698261453039383e+18,-0.007232673466205597,-0.03764879237860441,-0.914347649211747
72,1.6698261453051387e+18,-0.006666004657745361,-0.038125171326100826,-0.9079796269704213
73,1.6698261453097352e+18,-0.006045714020729065,-0.03855378832668066,-0.8988753006554313
74,1.6698261453137897e+18,-0.005717314779758453,-0.03905412461608648,-0.8881515489675259
75,1.669826145317903e+18,-0.005355700850486755,-0.03952863346785307,-0.871125347313378
76,1.6698261453219156e+18,-0.004915133118629456,-0.03992839436978102,-0.860308708564979
77,1.6698261453267405e+18,-0.004403315484523773,-0.040133669041097164,-0.8450165209558305
78,1.6698261453310449e+18,-0.004130356013774872,-0.04044648166745901,-0.8305322926786918
79,1.669826145334946e+18,-0.0034553632140159607,-0.04077528323978186,-0.8197443835179559
80,1.669826145339134e+18,-0.0033541545271873474,-0.04118514712899923,-0.8053177300655765
81,1.6698261453436298e+18,-0.002762928605079651,-0.041559903882443905,-0.7862670398041909
82,1.6698261453475666e+18,-0.002400793135166168,-0.04213360603898764,-0.7667563475416246
83,1.6698261453520358e+18,-0.0018534287810325623,-0.0427062651142478,-0.7454920212680647
84,1.6698261453562819e+18,-0.0014467835426330566,-0.042901827953755856,-0.7308025817401081
85,1.6698261453598397e+18,-0.000746212899684906,-0.04314497020095587,-0.7134354216605477
86,1.6698261453648174e+18,-0.0002225041389465332,-0.04355354141443968,-0.693294150287727
87,1.6698261453683182e+18,0.00025362521409988403,-0.0440795561298728,-0.6738966108876183
88,1.6698261453730368e+18,0.0008135512471199036,-0.0441701328381896,-0.6520864565461183
89,1.669826145376301e+18,0.001459650695323944,-0.04460394289344549,-0.6285110383670417
90,1.6698261453808415e+18,0.0020427703857421875,-0.04500944446772337,-0.607916627941554
91,1.669826145385024e+18,0.0026149824261665344,-0.04539439361542463,-0.5843983788086646
92,1.6698261453890854e+18,0.003192313015460968,-0.04588321130722761,-0.5613045171000259
93,1.6698261453936914e+18,0.003912687301635742,-0.04631571378558874,-0.539293473162078
94,1.669826145397738e+18,0.004586644470691681,-0.04680823814123869,-0.5173996977996647
95,1.6698261454018893e+18,0.0051497966051101685,-0.047374642454087734,-0.49773333174853884
96,1.66982614540596e+18,0.005708739161491394,-0.047588533721864223,-0.4772194390503308
97,1.669826145410036e+18,0.006105318665504456,-0.04798936750739813,-0.4576513477720743
98,1.6698261454144353e+18,0.00635683536529541,-0.04822664242237806,-0.4391099274581274
99,1.669826145418913e+18,0.0067232102155685425,-0.048904589377343655,-0.4222865374006295
100,1.6698261454225644e+18,0.0075265392661094666,-0.04952325206249952,-0.39792977155655174
101,1.6698261454268285e+18,0.007817305624485016,-0.05033586826175451,-0.38325055504206484
102,1.6698261454310856e+18,0.008522123098373413,-0.05063118692487478,-0.3614813221638813
103,1.6698261454351852e+18,0.008722342550754547,-0.051294527016580105,-0.3472791661478474
104,1.6698261454392707e+18,0.009027145802974701,-0.05169933196157217,-0.3293642271082815
105,1.6698261454430958e+18,0.009512186050415039,-0.052119201980531216,-0.31027938403952304
106,1.669826145447574e+18,0.010187774896621704,-0.05247513856738806,-0.288317347486178
107,1.6698261454516554e+18,0.010681211948394775,-0.052781819365918636,-0.26855642040536454
108,1.6698261454560614e+18,0.011303961277008057,-0.05325163062661886,-0.25005655242996805
109,1.6698261454603812e+18,0.011568613350391388,-0.05348051246255636,-0.23472457559571458
110,1.6698261454647662e+18,0.011882603168487549,-0.05377511586993933,-0.21885464479913663
111,1.6698261454683768e+18,0.012220390141010284,-0.05410489346832037,-0.20563724930484018
112,1.6698261454724992e+18,0.012560248374938965,-0.05444094445556402,-0.18766299073767945
113,1.6698261454764818e+18,0.012987196445465088,-0.054941958747804165,-0.16649747994333186
114,1.6698261454813304e+18,0.013400226831436157,-0.05533293541520834,-0.1499372533152672
115,1.66982614548505e+18,0.013803184032440186,-0.05567382927983999,-0.13371296596216586
116,1.6698261454893857e+18,0.014191128313541412,-0.05605910625308752,-0.11776273404288196
117,1.6698261454935644e+18,0.01449853926897049,-0.056392266415059566,-0.1019401777795268
118,1.669826145497811e+18,0.014929033815860748,-0.056781462393701077,-0.08482896716569854
