,time,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
0,1.6703236289226724e+18,0.025,0.025,0.025,0.025,0.025,0.025
1,1.6703236289327073e+18,0.025,0.025,0.025,0.025,0.025,0.025
2,1.6703236289426842e+18,0.025,0.025,0.025,0.025,0.025,0.025
3,1.670323628952689e+18,0.025,0.025,0.025,0.025,0.025,0.025
4,1.6703236289626673e+18,0.025,0.025,0.025,0.025,0.025,0.025
5,1.6703236289726723e+18,0.025,0.025,0.025,0.025,0.025,0.025
6,1.670323628982694e+18,0.025,0.025,0.025,0.025,0.025,0.025
7,1.6703236289927252e+18,0.025,0.025,0.025,0.025,0.025,0.025
8,1.670323629002706e+18,0.025,0.025,0.025,0.025,0.025,0.025
9,1.6703236290126838e+18,0.025,0.025,0.025,0.025,0.025,0.025
10,1.6703236290226877e+18,0.025,0.025,0.025,0.025,0.025,0.025
11,1.6703236290326828e+18,0.025,0.025,0.025,0.025,0.025,0.025
12,1.6703236290426906e+18,0.025,0.025,0.025,0.025,0.025,0.025
13,1.6703236290526917e+18,0.025,0.025,0.025,0.025,0.025,0.025
14,1.670323629062691e+18,0.025,0.025,0.025,0.025,0.025,0.025
15,1.6703236290726856e+18,0.025,0.025,0.025,0.025,0.025,0.025
16,1.6703236290826926e+18,0.025,0.025,0.025,0.025,0.025,0.025
17,1.6703236290926802e+18,0.025,0.025,0.025,0.025,0.025,0.025
18,1.6703236291026775e+18,0.025,0.025,0.025,0.025,0.025,0.025
19,1.670323629112678e+18,0.025,0.025,0.025,0.025,0.025,0.025
20,1.6703236291226834e+18,0.025,0.025,0.025,0.025,0.025,0.025
21,1.6703236291326784e+18,0.025,0.025,0.025,0.025,0.025,0.025
22,1.6703236291426783e+18,0.025,0.025,0.025,0.025,0.025,0.025
23,1.6703236291526687e+18,0.025,0.025,0.025,0.025,0.025,0.025
24,1.670323629162687e+18,0.025,0.025,0.025,0.025,0.025,0.025
25,1.6703236291726945e+18,0.025,0.025,0.025,0.025,0.025,0.025
26,1.6703236291826588e+18,0.025,0.025,0.025,0.025,0.025,0.025
27,1.6703236291927107e+18,0.025,0.025,0.025,0.025,0.025,0.025
28,1.670323629202684e+18,0.025,0.025,0.025,0.025,0.025,0.025
29,1.6703236292126838e+18,0.025,0.025,0.025,0.025,0.025,0.025
30,1.670323629222709e+18,0.025,0.025,0.025,0.025,0.025,0.025
31,1.6703236292326572e+18,0.025,0.025,0.025,0.025,0.025,0.025
32,1.6703236292426867e+18,0.025,0.025,0.025,0.025,0.025,0.025
33,1.6703236292526584e+18,0.025,0.025,0.025,0.025,0.025,0.025
34,1.6703236292626826e+18,0.025,0.025,0.025,0.025,0.025,0.025
35,1.6703236292726584e+18,0.025,0.025,0.025,0.025,0.025,0.025
36,1.670323629282685e+18,0.025,0.025,0.025,0.025,0.025,0.025
37,1.670323629292683e+18,0.025,0.025,0.025,0.025,0.025,0.025
38,1.6703236293026834e+18,0.025,0.025,0.025,0.025,0.025,0.025
39,1.6703236293126597e+18,0.025,0.025,0.025,0.025,0.025,0.025
40,1.670323629322664e+18,0.025,0.025,0.025,0.025,0.025,0.025
41,1.6703236293326863e+18,0.025,0.025,0.025,0.025,0.025,0.025
42,1.6703236293426857e+18,0.025,0.025,0.025,0.025,0.025,0.025
43,1.6703236293526707e+18,0.025,0.025,0.025,0.025,0.025,0.025
44,1.6703236293626852e+18,0.025,0.025,0.025,0.025,0.025,0.025
45,1.670323629372693e+18,0.025,0.025,0.025,0.025,0.025,0.025
46,1.670323629382689e+18,0.025,0.025,0.025,0.025,0.025,0.025
47,1.670323629392688e+18,0.025,0.025,0.025,0.025,0.025,0.025
48,1.6703236294026972e+18,0.025,0.025,0.025,0.025,0.025,0.025
49,1.6703236294126874e+18,0.025,0.025,0.025,0.025,0.025,0.025
50,1.6703236294226913e+18,0.025,0.025,0.025,0.025,0.025,0.025
51,1.6703236294327101e+18,0.025,0.025,0.025,0.025,0.025,0.025
52,1.6703236294426757e+18,0.025,0.025,0.025,0.025,0.025,0.025
53,1.6703236294526868e+18,0.025,0.025,0.025,0.025,0.025,0.025
54,1.670323629462686e+18,0.025,0.025,0.025,0.025,0.025,0.025
55,1.6703236294727002e+18,0.025,0.025,0.025,0.025,0.025,0.025
56,1.670323629482689e+18,0.025,0.025,0.025,0.025,0.025,0.025
57,1.67032362949269e+18,0.025,0.025,0.025,0.025,0.025,0.025
58,1.6703236295026883e+18,0.025,0.025,0.025,0.025,0.025,0.025
59,1.670323629512692e+18,0.025,0.025,0.025,0.025,0.025,0.025
60,1.670323629522685e+18,0.025,0.025,0.025,0.025,0.025,0.025
61,1.6703236295326884e+18,0.025,0.025,0.025,0.025,0.025,0.025
62,1.6703236295426765e+18,0.025,0.025,0.025,0.025,0.025,0.025
63,1.6703236295526858e+18,0.025,0.025,0.025,0.025,0.025,0.025
64,1.6703236295626854e+18,0.025,0.025,0.025,0.025,0.025,0.025
65,1.670323629572671e+18,0.025,0.025,0.025,0.025,0.025,0.025
66,1.670323629582682e+18,0.025,0.025,0.025,0.025,0.025,0.025
67,1.6703236295926958e+18,0.025,0.025,0.025,0.025,0.025,0.025
68,1.6703236296026998e+18,0.025,0.025,0.025,0.025,0.025,0.025
69,1.6703236296126943e+18,0.025,0.025,0.025,0.025,0.025,0.025
70,1.670323629622704e+18,0.025,0.025,0.025,0.025,0.025,0.025
71,1.6703236296327107e+18,0.025,0.025,0.025,0.025,0.025,0.025
72,1.6703236296427062e+18,0.025,0.025,0.025,0.025,0.025,0.025
73,1.6703236296526845e+18,0.025,0.025,0.025,0.025,0.025,0.025
74,1.6703236296626941e+18,0.025,0.025,0.025,0.025,0.025,0.025
75,1.6703236296726856e+18,0.025,0.025,0.025,0.025,0.025,0.025
76,1.6703236296826947e+18,0.025,0.025,0.025,0.025,0.025,0.025
77,1.6703236296926746e+18,0.025,0.025,0.025,0.025,0.025,0.025
78,1.67032362970269e+18,0.025,0.025,0.025,0.025,0.025,0.025
79,1.6703236297126822e+18,0.025,0.025,0.025,0.025,0.025,0.025
80,1.6703236297226816e+18,0.025,0.025,0.025,0.025,0.025,0.025
81,1.6703236297326868e+18,0.025,0.025,0.025,0.025,0.025,0.025
82,1.6703236297426816e+18,0.025,0.025,0.025,0.025,0.025,0.025
83,1.6703236297526845e+18,0.025,0.025,0.025,0.025,0.025,0.025
84,1.6703236297626803e+18,0.025,0.025,0.025,0.025,0.025,0.025
85,1.6703236297726728e+18,0.025,0.025,0.025,0.025,0.025,0.025
86,1.6703236297826857e+18,0.025,0.025,0.025,0.025,0.025,0.025
87,1.6703236297926866e+18,0.025,0.025,0.025,0.025,0.025,0.025
88,1.670323629802699e+18,0.025,0.025,0.025,0.025,0.025,0.025
89,1.6703236298126948e+18,0.025,0.025,0.025,0.025,0.025,0.025
90,1.670323629822795e+18,0.025,0.025,0.025,0.025,0.025,0.025
91,1.670323629832798e+18,0.025,0.025,0.025,0.025,0.025,0.025
92,1.6703236298428206e+18,0.025,0.025,0.025,0.025,0.025,0.025
93,1.6703236298527002e+18,0.025,0.025,0.025,0.025,0.025,0.025
94,1.6703236298626414e+18,0.025,0.025,0.025,0.025,0.025,0.025
95,1.670323629872675e+18,0.025,0.025,0.025,0.025,0.025,0.025
96,1.670323629882688e+18,0.025,0.025,0.025,0.025,0.025,0.025
97,1.6703236298926825e+18,0.025,0.025,0.025,0.025,0.025,0.025
98,1.670323629902685e+18,0.025,0.025,0.025,0.025,0.025,0.025
99,1.6703236299126994e+18,0.025,0.025,0.025,0.025,0.025,0.025
100,1.6703236299226941e+18,0.025,0.025,0.025,0.025,0.025,0.025
101,1.670323629932684e+18,0.025,0.025,0.025,0.025,0.025,0.025
102,1.6703236299427003e+18,0.025,0.025,0.025,0.025,0.025,0.025
103,1.6703236299529597e+18,0.025,0.025,0.025,0.025,0.025,0.025
104,1.670323629962704e+18,0.025,0.025,0.025,0.025,0.025,0.025
105,1.6703236299726945e+18,0.025,0.025,0.025,0.025,0.025,0.025
106,1.670323629982848e+18,0.025,0.025,0.025,0.025,0.025,0.025
107,1.6703236299926991e+18,0.025,0.025,0.025,0.025,0.025,0.025
108,1.6703236300028096e+18,0.025,0.025,0.025,0.025,0.025,0.025
109,1.670323630012669e+18,0.025,0.025,0.025,0.025,0.025,0.025
110,1.6703236300226934e+18,0.025,0.025,0.025,0.025,0.025,0.025
111,1.6703236300326766e+18,0.025,0.025,0.025,0.025,0.025,0.025
112,1.6703236300426885e+18,0.025,0.025,0.025,0.025,0.025,0.025
113,1.670323630052687e+18,0.025,0.025,0.025,0.025,0.025,0.025
114,1.6703236300626755e+18,0.025,0.025,0.025,0.025,0.025,0.025
115,1.67032363007267e+18,0.025,0.025,0.025,0.025,0.025,0.025
