,time,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
0,1.6698228225888353e+18,0.0,0.36236637830734253,0.0,0.30869781970977783,0.44110941886901855,0.0
1,1.669822822593662e+18,0.0,0.32540905475616455,0.0,0.2687031626701355,0.3613031506538391,0.0
2,1.6698228226033592e+18,0.0,0.3012881875038147,0.0,0.23561418056488037,0.30431419610977173,0.0
3,1.669822822613169e+18,0.0,0.2737564742565155,0.0,0.20260204374790192,0.2619258761405945,0.0
4,1.6698228226230239e+18,0.53943932056427,0.0,0.0,0.46665459871292114,0.0,0.38506922125816345
5,1.6698228226331482e+18,0.5015382766723633,0.0,0.0,0.4225924015045166,0.0,0.37802839279174805
6,1.6698228226431785e+18,0.40486782789230347,0.0,0.0,0.3511766493320465,0.0,0.335807204246521
7,1.6698228226531238e+18,0.3199010491371155,0.0,0.0,0.2803879380226135,0.0,0.28988897800445557
8,1.6698228226632276e+18,0.37336766719818115,0.0,0.0,0.3351869285106659,0.0,0.7667896151542664
9,1.669822822673318e+18,0.3163861036300659,0.0,0.0,0.29467105865478516,0.0,0.6817415356636047
10,1.669822822683374e+18,0.27116259932518005,0.0,0.0,0.2586449384689331,0.0,0.5365496277809143
11,1.6698228226931272e+18,0.23811186850070953,0.0,0.0,0.2273961305618286,0.0,0.4227188229560852
12,1.6698228227031237e+18,0.21379368007183075,0.0,0.0,0.20908688008785248,0.0,0.36611437797546387
13,1.6698228227117125e+18,0.0,0.34526073932647705,0.028260275721549988,0.0,0.686877429485321,0.0
14,1.669822822723229e+18,0.0,0.32491278648376465,0.028937265276908875,0.0,0.616013765335083,0.0
15,1.6698228227333555e+18,0.0,0.27096813917160034,0.022899165749549866,0.0,0.4311152696609497,0.0
16,1.6698228227443325e+18,0.0,0.22271236777305603,0.016565844416618347,0.0,0.30222630500793457,0.0
17,1.669822822754327e+18,0.0,0.5336188077926636,0.0,0.23809731006622314,0.26283031702041626,0.0
18,1.6698228227648778e+18,0.0,0.46094590425491333,0.0,0.21769216656684875,0.2123521864414215,0.0
19,1.6698228227744755e+18,0.0,0.3658164441585541,0.0,0.19526368379592896,0.16678446531295776,0.0
20,1.669822822784516e+18,0.0,0.2998824715614319,0.0,0.16636580228805542,0.13409140706062317,0.0
21,1.6698228227944082e+18,0.6356238126754761,0.0,0.5266722440719604,0.0,0.0,0.954698920249939
22,1.669822822804451e+18,0.5982364416122437,0.0,0.48639392852783203,0.0,0.0,0.9016265869140625
23,1.6698228228134152e+18,0.4830036461353302,0.0,0.40515661239624023,0.0,0.0,0.7488261461257935
24,1.6698228228230328e+18,0.3697674572467804,0.0,0.3270074129104614,0.0,0.0,0.5874788165092468
25,1.6698228228331886e+18,0.29207560420036316,0.0,0.26926445960998535,0.0,0.0,0.4810207784175873
26,1.6698228228437594e+18,0.20518870651721954,0.0,0.29933369159698486,0.0,0.0,0.21863582730293274
27,1.66982282285421e+18,0.17860837280750275,0.0,0.2620963752269745,0.0,0.0,0.2028719186782837
28,1.6698228228632507e+18,0.1624312847852707,0.0,0.2346499115228653,0.0,0.0,0.23063690960407257
29,1.6698228228730698e+18,0.1534406542778015,0.0,0.21222078800201416,0.0,0.0,0.24892354011535645
30,1.6698228228830917e+18,0.14719754457473755,0.0,0.199194997549057,0.0,0.0,0.2757943272590637
31,1.6698228228932664e+18,0.0,0.3428921103477478,0.0,0.3117707073688507,0.3591410517692566,0.0
32,1.6698228229020111e+18,0.0,0.3239125907421112,0.0,0.28885263204574585,0.2796197235584259,0.0
33,1.6698228229120773e+18,0.0,0.2676396667957306,0.0,0.22831925749778748,0.18154150247573853,0.0
34,1.6698228229221356e+18,0.0,0.2189929485321045,0.0,0.17888903617858887,0.10498584806919098,0.0
35,1.6698228229333435e+18,0.1867387592792511,0.0,0.45838820934295654,0.0,0.0,0.006924226880073547
36,1.6698228229430154e+18,0.19232288002967834,0.0,0.4291747510433197,0.0,0.0,0.0481552928686142
37,1.6698228229518574e+18,0.1670762002468109,0.0,0.33320382237434387,0.0,0.0,0.11221854388713837
38,1.6698228229619423e+18,0.1440148800611496,0.0,0.2686554491519928,0.0,0.0,0.14307670295238495
39,1.669822822972107e+18,0.1271246373653412,0.0,0.22239597141742706,0.0,0.0,0.16917110979557037
40,1.6698228229821972e+18,0.0,0.3322988748550415,0.0,0.012199252843856812,0.0,1.0
41,1.6698228229918774e+18,0.0,0.30519911646842957,0.0,0.02151423692703247,0.0,0.9584958553314209
42,1.66982282300197e+18,0.0,0.23805105686187744,0.0,0.018389031291007996,0.0,0.7950085401535034
43,1.6698228230132396e+18,0.0,0.18370850384235382,0.0,0.004646629095077515,0.0,0.6235940456390381
44,1.6698228230244861e+18,0.11646856367588043,0.0,0.23882842063903809,0.0,0.2312726378440857,0.0
45,1.6698228230343427e+18,0.12068231403827667,0.0,0.22875118255615234,0.0,0.2157997190952301,0.0
46,1.6698228230431263e+18,0.10393954813480377,0.0,0.20194309949874878,0.0,0.123568594455719,0.0
47,1.669822823051833e+18,0.08793618530035019,0.0,0.16763590276241302,0.0,0.04317138344049454,0.0
48,1.6698228230616978e+18,0.07628944516181946,0.0,0.14562812447547913,0.0,0.0,0.03451789915561676
49,1.6698228230718316e+18,0.2016461044549942,0.0,0.0,0.26224228739738464,0.0,0.3468567430973053
50,1.6698228230819008e+18,0.18925945460796356,0.0,0.0,0.2575879693031311,0.0,0.3793409466743469
51,1.6698228230919473e+18,0.17490974068641663,0.0,0.0,0.22995959222316742,0.0,0.3739624321460724
