,time,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
0,1.6705019655785797e+18,0.04157504066824913,0.03,0.03,0.03,0.03,0.03
1,1.6705019655884508e+18,0.035829734057188034,0.03,0.03,0.03,0.03,0.03
2,1.6705019655990664e+18,0.0340118333697319,0.03,0.03,0.03,0.03,0.03
3,1.6705019656072e+18,0.03197908401489258,0.03,0.03,0.03,0.03,0.03
4,1.670501965617223e+18,0.030174938961863518,0.03,0.03,0.03,0.03,0.03
5,1.6705019656275013e+18,0.4373534321784973,0.03,0.03,0.136550173163414,0.3381862938404083,0.03
6,1.670501965637855e+18,0.3966216444969177,0.03,0.03,0.1287350356578827,0.31716305017471313,0.03
7,1.6705019656472486e+18,0.3254426419734955,0.03,0.03,0.11573896557092667,0.2769765257835388,0.03
8,1.6705019656580442e+18,0.27533668279647827,0.03,0.03,0.10685615986585617,0.2453588843345642,0.03
9,1.6705019656677696e+18,0.24408549070358276,0.03,0.03,0.10159514844417572,0.22226715087890625,0.03
10,1.6705019656772959e+18,0.22295819222927094,0.03,0.03,0.09840880334377289,0.2052026093006134,0.03
11,1.6705019656872904e+18,0.20971156656742096,0.03,0.03,0.0974932387471199,0.1930064558982849,0.03
12,1.6705019656977142e+18,0.19714713096618652,0.03,0.03,0.09504564106464386,0.18146295845508575,0.03
13,1.67050196570761e+18,0.1880573034286499,0.03,0.03,0.09400440752506256,0.17321012914180756,0.03
14,1.6705019657176387e+18,0.18117691576480865,0.03,0.03,0.09354044497013092,0.16725656390190125,0.03
15,1.670501965728186e+18,0.12654298543930054,0.03,0.5257038474082947,0.03,0.03,0.5413245558738708
16,1.6705019657380908e+18,0.12472063302993774,0.03,0.47331109642982483,0.03,0.03,0.4890899062156677
17,1.6705019657482473e+18,0.12369221448898315,0.03,0.38422930240631104,0.03,0.03,0.3895716071128845
18,1.6705019657579287e+18,0.12368647754192352,0.03,0.3183978199958801,0.03,0.03,0.3057774305343628
19,1.6705019657677614e+18,0.126862570643425,0.03,0.27198436856269836,0.03,0.03,0.25162357091903687
20,1.670501965778102e+18,0.1267559826374054,0.03,0.24629589915275574,0.03,0.03,0.21814212203025818
21,1.6705019657884165e+18,0.13011053204536438,0.03,0.22620195150375366,0.03,0.03,0.198917418718338
22,1.670501965797997e+18,0.12628227472305298,0.03,0.21184584498405457,0.03,0.03,0.1788015365600586
23,1.6705019658097155e+18,0.13624858856201172,0.03,0.21148744225502014,0.03,0.03,0.1717873215675354
24,1.6705019658197396e+18,0.13307198882102966,0.03,0.2050442099571228,0.03,0.03,0.16380757093429565
25,1.6705019658298033e+18,0.03,0.42526936531066895,0.03,0.03,0.03,0.05925975739955902
26,1.6705019658397978e+18,0.03,0.39177995920181274,0.03,0.03,0.03,0.06338463723659515
27,1.6705019658500867e+18,0.03,0.3366588354110718,0.03,0.03,0.03,0.06602351367473602
28,1.6705019658597097e+18,0.03,0.28883373737335205,0.0388965904712677,0.03,0.03,0.07425259053707123
29,1.670501965869554e+18,0.03,0.2555806040763855,0.04836323857307434,0.03,0.03,0.08196668326854706
30,1.6705019658797094e+18,0.03,0.2295641154050827,0.055749475955963135,0.03,0.03,0.08600081503391266
31,1.6705019658893855e+18,0.03,0.21095526218414307,0.06260940432548523,0.03,0.03,0.09099715948104858
32,1.6705019659001574e+18,0.03,0.19987887144088745,0.06599822640419006,0.03,0.03,0.08915193378925323
33,1.6705019659102254e+18,0.03,0.19267700612545013,0.0737503170967102,0.03,0.03,0.0935179591178894
34,1.6705019659206426e+18,0.03,0.17950086295604706,0.0754287838935852,0.03,0.03,0.09270346164703369
35,1.670501965930485e+18,0.09559720754623413,0.03,0.03,0.268646776676178,0.3286513090133667,0.03
36,1.670501965940528e+18,0.08550573885440826,0.03,0.03,0.25216084718704224,0.30562251806259155,0.03
37,1.67050196594988e+18,0.06180055812001228,0.03,0.03,0.22127264738082886,0.26503437757492065,0.03
38,1.6705019659602132e+18,0.04110947996377945,0.03,0.03,0.19165842235088348,0.22560027241706848,0.03
39,1.6705019659711547e+18,0.030081823468208313,0.03,0.03,0.1706809252500534,0.20017927885055542,0.03
40,1.670501965978615e+18,0.03,0.03,0.03,0.15545986592769623,0.1785011738538742,0.03
41,1.6705019659875497e+18,0.03,0.03,0.03,0.14009414613246918,0.15936562418937683,0.03
42,1.6705019659976517e+18,0.03,0.03,0.03,0.12855662405490875,0.14738500118255615,0.03
43,1.6705019660079076e+18,0.03,0.03,0.03,0.11833712458610535,0.1359231323003769,0.03
44,1.6705019660190198e+18,0.03,0.03,0.03,0.11120064556598663,0.12724488973617554,0.03
45,1.6705019660290496e+18,0.03,0.03,0.03,0.10424599051475525,0.1190054789185524,0.03
46,1.67050196603974e+18,0.03,0.22333219647407532,0.03,0.05555035173892975,0.5010284781455994,0.03
47,1.6705019660478776e+18,0.03,0.2101570963859558,0.03,0.05438666045665741,0.45484453439712524,0.03
48,1.670501966058141e+18,0.03,0.18546505272388458,0.03,0.05308554321527481,0.37663596868515015,0.03
49,1.6705019660684447e+18,0.03,0.1619623452425003,0.03,0.05066189914941788,0.31664466857910156,0.03
50,1.6705019660789985e+18,0.03,0.14505872130393982,0.03,0.04852566868066788,0.2772068381309509,0.03
51,1.6705019660916099e+18,0.03,0.1337195336818695,0.03,0.04798824340105057,0.26493600010871887,0.03
52,1.670501966100429e+18,0.03,0.12289818376302719,0.03,0.04689235985279083,0.24289900064468384,0.03
53,1.6705019661122604e+18,0.03,0.11594809591770172,0.03,0.04422421008348465,0.22710198163986206,0.03
54,1.6705019661207158e+18,0.03,0.11048566550016403,0.03,0.03987696021795273,0.2132866382598877,0.03
55,1.670501966130587e+18,0.03,0.10524974018335342,0.03,0.03698865324258804,0.2018727958202362,0.03
56,1.6705019661407483e+18,0.5620971918106079,0.03,0.10805532336235046,0.03,0.03,0.09157627820968628
57,1.670501966150001e+18,0.503065288066864,0.03,0.10739286243915558,0.03,0.03,0.09516477584838867
58,1.6705019661582984e+18,0.39324355125427246,0.03,0.10115969181060791,0.03,0.03,0.11500236392021179
59,1.670501966168645e+18,0.3207348585128784,0.03,0.09462777525186539,0.03,0.03,0.11640012264251709
60,1.6705019661794002e+18,0.27650314569473267,0.03,0.09070741385221481,0.03,0.03,0.11577281355857849
61,1.670501966187876e+18,0.25029200315475464,0.03,0.08565552532672882,0.03,0.03,0.1195848286151886
62,1.6705019661979548e+18,0.2314019799232483,0.03,0.07948808372020721,0.03,0.03,0.12626734375953674
63,1.6705019662080348e+18,0.21743756532669067,0.03,0.07552209496498108,0.03,0.03,0.13031718134880066
64,1.67050196621792e+18,0.20964807271957397,0.03,0.0692799761891365,0.03,0.03,0.14132103323936462
65,1.670501966228903e+18,0.2020280659198761,0.03,0.06320590525865555,0.03,0.03,0.14634102582931519
66,1.6705019662389775e+18,0.20029428601264954,0.03,0.05576648563146591,0.03,0.03,0.16053295135498047
67,1.6705019662482248e+18,0.03,0.7340128421783447,0.03,0.03,0.03,1.0
68,1.6705019662584123e+18,0.03,0.6554318070411682,0.03,0.03,0.03,0.9322088956832886
69,1.6705019662685343e+18,0.03,0.5002665519714355,0.03,0.03,0.03,0.7492971420288086
70,1.6705019662803768e+18,0.03,0.37382495403289795,0.03,0.03,0.03,0.5766555070877075
71,1.6705019662904146e+18,0.03,0.3056057095527649,0.03,0.03,0.03,0.46140363812446594
72,1.6705019663004733e+18,0.03,0.268650621175766,0.03,0.03,0.03,0.3948904871940613
73,1.6705019663104796e+18,0.03,0.24762456119060516,0.03,0.03,0.03,0.35733306407928467
74,1.6705019663203994e+18,0.03,0.23857419192790985,0.03,0.03,0.03,0.33938056230545044
75,1.6705019663305912e+18,0.03,0.2306165248155594,0.03,0.03467355668544769,0.03,0.32056912779808044
76,1.6705019663412342e+18,0.03,0.230928435921669,0.03,0.04169631004333496,0.03,0.31115713715553284
77,1.6705019663504343e+18,0.03,0.10239747166633606,0.03,0.6119682788848877,0.6489753723144531,0.03
