,time,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
0,1.6690407809548685e+18,0.0625,0.0,0.0,0.0,0.0,0.0
1,1.669040780964874e+18,0.0625,0.0,0.0,0.0,0.0,0.0
2,1.6690407809748644e+18,0.0625,0.0,0.0,0.0,0.0,0.0
3,1.669040780984864e+18,0.0625,0.0,0.0,0.0,0.0,0.0
4,1.6690407809948467e+18,0.0625,0.0,0.0,0.0,0.0,0.0
5,1.6690407810048527e+18,0.0625,0.0,0.0,0.0,0.0,0.0
6,1.6690407810148342e+18,0.0625,0.0,0.0,0.0,0.0,0.0
7,1.6690407810248525e+18,0.0625,0.0,0.0,0.0,0.0,0.0
8,1.6690407810348516e+18,0.0625,0.0,0.0,0.0,0.0,0.0
9,1.6690407810448673e+18,0.0625,0.0,0.0,0.0,0.0,0.0
10,1.6690407810548764e+18,0.0625,0.0,0.0,0.0,0.0,0.0
11,1.6690407810648174e+18,0.0625,0.0,0.0,0.0,0.0,0.0
12,1.669040781074826e+18,0.0625,0.0,0.0,0.0,0.0,0.0
13,1.66904078108487e+18,0.0625,0.0,0.0,0.0,0.0,0.0
14,1.6690407810948298e+18,0.0625,0.0,0.0,0.0,0.0,0.0
15,1.6690407811048435e+18,0.0625,0.0,0.0,0.0,0.0,0.0
16,1.669040781114841e+18,0.0625,0.0,0.0,0.0,0.0,0.0
17,1.6690407811248346e+18,0.0625,0.0,0.0,0.0,0.0,0.0
18,1.6690407811348623e+18,0.0625,0.0,0.0,0.0,0.0,0.0
19,1.6690407811448292e+18,0.0625,0.0,0.0,0.0,0.0,0.0
20,1.6690407811548485e+18,0.0625,0.0,0.0,0.0,0.0,0.0
21,1.669040781164816e+18,0.0625,0.0,0.0,0.0,0.0,0.0
22,1.6690407811748856e+18,0.0625,0.0,0.0,0.0,0.0,0.0
23,1.669040781184887e+18,0.0625,0.0,0.0,0.0,0.0,0.0
24,1.6690407811948972e+18,0.0625,0.0,0.0,0.0,0.0,0.0
25,1.6690407812048858e+18,0.0625,0.0,0.0,0.0,0.0,0.0
26,1.6690407812148974e+18,0.0625,0.0,0.0,0.0,0.0,0.0
27,1.669040781224885e+18,0.0625,0.0,0.0,0.0,0.0,0.0
28,1.6690407812348475e+18,0.0625,0.0,0.0,0.0,0.0,0.0
29,1.669040781244878e+18,0.0625,0.0,0.0,0.0,0.0,0.0
30,1.6690407812548836e+18,0.0625,0.0,0.0,0.0,0.0,0.0
31,1.6690407812648192e+18,0.0625,0.0,0.0,0.0,0.0,0.0
32,1.669040781274844e+18,0.0625,0.0,0.0,0.0,0.0,0.0
33,1.6690407812848492e+18,0.0625,0.0,0.0,0.0,0.0,0.0
